name,platform,release_date,metascore,user_score,developer,publisher,genre,_name,rating_score,category,source,name_key,estimated_downloads
Age of Mythology: Retold - Immortal Pillars,PlayStation 5,2025-03-04,86.0,8.2,World's Edge,Xbox Game Studios,Real-Time Strategy,Age of Mythology: Retold - Immortal Pillars,86.0,Sim/Strategy Game,metacritic,age of mythology: retold - immortal pillars,
Bleach Rebirth of Souls,PC,2025-03-21,76.0,8.7,Tamsoft,Bandai Namco Games,3D Fighting,Bleach Rebirth of Souls,76.0,Fighting Game,metacritic,bleach rebirth of souls,
Blue Prince,PC,2025-04-10,92.0,7.8,Dogubomb,Raw Fury,First-Person Adventure,Blue Prince,92.0,Action/Adventure Game,metacritic,blue prince,
Borderlands 4,Xbox Series X,2025-09-12,90.0,6.1,Gearbox Software,2K Games,FPS,Borderlands 4,90.0,Action Game,metacritic,borderlands 4,
Capcom Fighting Collection 2,PlayStation 4,2025-05-16,82.0,5.4,Capcom,Capcom,Compilation,Capcom Fighting Collection 2,82.0,Fighting Game,metacritic,capcom fighting collection 2,
Clair Obscur: Expedition 33,PlayStation 5,2025-04-24,93.0,9.6,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG,Clair Obscur: Expedition 33,93.0,Role Playing Game,metacritic,clair obscur: expedition 33,
Dawnfolk,PC,2025-02-13,83.0,7.6,Darenn Keller,Astra Logical,Strategy,Dawnfolk,83.0,Sim/Strategy Game,metacritic,dawnfolk,
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,PlayStation 5,2025-08-05,76.0,7.3,CyberConnect2,Sega|Aniplex Inc.,3D Fighting,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,76.0,Fighting Game,metacritic,demon slayer: kimetsu no yaiba - the hinokami chronicles 2,
Digimon Story Time Stranger,Xbox Series X,2025-10-03,79.0,9.5,Media.Vision,Bandai Namco Games,Trainer RPG,Digimon Story Time Stranger,79.0,Narrative,metacritic,digimon story time stranger,
Dragon Ball: Gekishin Squadra,iOS (iPhone/iPad),2025-09-09,80.0,6.3,Ganbarion,Bandai Namco Games,MOBA,Dragon Ball: Gekishin Squadra,80.0,Mobile Game,metacritic,dragon ball: gekishin squadra,
Drop Duchy,PC,2025-05-05,83.0,6.8,Sleepy Mill Studio,The Arcade Crew,Turn-Based Strategy,Drop Duchy,83.0,Sim/Strategy Game,metacritic,drop duchy,
EA Sports College Football 26,PlayStation 5,2025-07-10,82.0,4.5,EA Tiburon,Electronic Arts,Football Sim,EA Sports College Football 26,82.0,Sports/Racing Game,metacritic,ea sports college football 26,
Earthion,PC,2025-07-31,87.0,8.5,Ancient,Limited Run Games,Horizontal Shoot-'Em-Up,Earthion,87.0,VR/AR Game,metacritic,earthion,
Expelled!,PC,2025-03-12,82.0,7.3,inkle,inkle,Visual Novel,Expelled!,82.0,Narrative,metacritic,expelled!,
F1 25,PC,2025-05-30,81.0,8.4,Codemasters,Electronic Arts,Auto Racing Sim,F1 25,81.0,Sports/Racing Game,metacritic,f1 25,
Fatal Fury: City of the Wolves,PlayStation 5,2025-04-24,80.0,6.4,SNK Corporation,SNK Corporation,2D Fighting,Fatal Fury: City of the Wolves,80.0,Fighting Game,metacritic,fatal fury: city of the wolves,
FINAL FANTASY TACTICS - The Ivalice Chronicles,PlayStation 5,2025-09-30,88.0,7.4,Creative Business Unit III,Square Enix,Turn-Based Tactics,FINAL FANTASY TACTICS - The Ivalice Chronicles,88.0,Sim/Strategy Game,metacritic,final fantasy tactics - the ivalice chronicles,
Hades II,Nintendo Switch,2025-09-25,98.0,9.3,Supergiant Games,Supergiant Games,Action RPG,Hades II,98.0,Action/Adventure Game,metacritic,hades ii,
Hello Kitty Island Adventure,iOS (iPhone/iPad),2025-01-30,83.0,7.3,Sunblink,Sunblink|U&I Entertainment,Virtual Life,Hello Kitty Island Adventure,83.0,Mobile Game,metacritic,hello kitty island adventure,
Keep Driving,PC,2025-02-06,84.0,7.7,YCJY Games,YCJY Games,RPG,Keep Driving,84.0,Sports/Racing Game,metacritic,keep driving,
Mario Kart World,Nintendo Switch 2,2025-06-05,86.0,6.9,Nintendo,Nintendo,Auto Racing,Mario Kart World,86.0,Sports/Racing Game,metacritic,mario kart world,
MLB The Show 25,PlayStation 5,2025-03-18,83.0,5.5,San Diego Studio,Sony Interactive Entertainment,Baseball Sim,MLB The Show 25,83.0,Sim/Strategy Game,metacritic,mlb the show 25,
Mobile Suit Gundam Seed Battle Destiny Remastered,Nintendo Switch,2025-05-22,67.0,6.8,Bandai Namco Games,Bandai Namco Games,Vehicle Combat Sim,Mobile Suit Gundam Seed Battle Destiny Remastered,67.0,Mobile Game,metacritic,mobile suit gundam seed battle destiny remastered,
Monster Hunter Wilds,Xbox Series X,2025-02-28,90.0,7.7,Capcom,Capcom,Action RPG,Monster Hunter Wilds,90.0,Role Playing Game,metacritic,monster hunter wilds,
NBA 2K26,PlayStation 5,2025-09-05,82.0,4.9,Visual Concepts,2K Games|Take-Two Interactive,Basketball Sim,NBA 2K26,82.0,Sports/Racing Game,metacritic,nba 2k26,
Persona 5: The Phantom X,iOS (iPhone/iPad),2025-06-25,71.0,6.9,Atlus,Sega|Atlus,JRPG,Persona 5: The Phantom X,71.0,Mobile Game,metacritic,persona 5: the phantom x,
RollerCoaster Tycoon Classic,iOS (iPhone/iPad),2024-12-05,90.0,7.9,Atari,Atari,Tycoon,RollerCoaster Tycoon Classic,90.0,Mobile Game,metacritic,rollercoaster tycoon classic,
Shinobi: Art of Vengeance,Nintendo Switch,2025-08-29,89.0,9.5,Lizardcube,Sega|Limited Run Games,2D Platformer,Shinobi: Art of Vengeance,89.0,VR/AR Game,metacritic,shinobi: art of vengeance,
Sonic Racing: CrossWorlds,Xbox Series X,2025-09-25,88.0,8.7,Sonic Team,Sega,Arcade Racing,Sonic Racing: CrossWorlds,88.0,Sports/Racing Game,metacritic,sonic racing: crossworlds,
Split Fiction,Xbox Series X,2025-03-06,93.0,8.9,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure,Split Fiction,93.0,Action/Adventure Game,metacritic,split fiction,
Stories from Sol: The Gun-Dog,PC,2025-02-20,80.0,8.1,Space Colony Studios,Astrolabe Games,Visual Novel,Stories from Sol: The Gun-Dog,80.0,Narrative,metacritic,stories from sol: the gun-dog,
Story of Seasons: Grand Bazaar,Nintendo Switch 2,2025-08-27,83.0,8.7,Marvelous Inc.,XSEED Games|Marvelous Inc.|Marvelous Europe,Virtual Life,Story of Seasons: Grand Bazaar,83.0,Narrative,metacritic,story of seasons: grand bazaar,
Street Fighter 6: Years 1-2 Fighters Edition,Nintendo Switch 2,2025-06-05,86.0,7.9,Capcom,Capcom,2D Fighting,Street Fighter 6: Years 1-2 Fighters Edition,86.0,Fighting Game,metacritic,street fighter 6: years 1-2 fighters edition,
Sunderfolk,PlayStation 5,2025-04-23,84.0,8.5,Secret Door,Dreamhaven,Turn-Based Tactics,Sunderfolk,84.0,Sim/Strategy Game,metacritic,sunderfolk,
Super Mario Galaxy + Super Mario Galaxy 2,Nintendo Switch,2025-10-02,88.0,7.4,Nintendo,Nintendo,Compilation,Super Mario Galaxy + Super Mario Galaxy 2,88.0,VR/AR Game,metacritic,super mario galaxy + super mario galaxy 2,
Survival Kids,Nintendo Switch 2,2025-06-05,62.0,6.2,Unity 3D,Konami,Survival,Survival Kids,62.0,Family Game,metacritic,survival kids,
The Hundred Line: Last Defense Academy,Nintendo Switch,2025-04-24,84.0,8.1,Too Kyo Games,Marvelous Inc.|XSEED Games|Aniplex Inc.|Justdan,Turn-Based Tactics,The Hundred Line: Last Defense Academy,84.0,Sim/Strategy Game,metacritic,the hundred line: last defense academy,
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.5,Nintendo,Nintendo,Open-World Action,The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,95.0,Action/Adventure Game,metacritic,the legend of zelda: breath of the wild - nintendo switch 2 edition,
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.3,Nintendo,Nintendo,Open-World Action,The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,95.0,Action/Adventure Game,metacritic,the legend of zelda: tears of the kingdom - nintendo switch 2 edition,
Trails in the Sky 1st Chapter,PlayStation 5,2025-09-19,90.0,9.0,Falcom,GungHo|Falcom|Clear River Games,JRPG,Trails in the Sky 1st Chapter,90.0,Role Playing Game,metacritic,trails in the sky 1st chapter,
Virtua Fighter 5 R.E.V.O.,PC,2025-01-28,75.0,7.8,Ryu ga Gotoku Studios,Sega,3D Fighting,Virtua Fighter 5 R.E.V.O.,75.0,Fighting Game,metacritic,virtua fighter 5 r.e.v.o.,
