game_name,release_date,developer,user_defined_tags,supported_os,price,estimated_downloads,reviews_like_rate,name,rating_score,category,source,name_key
A Webbing Journey,2025-05-19,Fire Totem Games,Early Access|Sandbox|Cute,win|mac|linux,4.49,11600,100,A Webbing Journey,100.0,Independent Game,steam,a webbing journey
Automate It: Factory Puzzle,2025-05-27,South Blue Moon,Simulation|Strategy,win,6.49,480,100,Automate It: Factory Puzzle,100.0,Sim/Strategy Game,steam,automate it: factory puzzle
Aviassembly,2025-04-11,Jelle Booij,Early Access|Building|Crafting|Simulation,win,5.79,194000,97,Aviassembly,97.0,Independent Game,steam,aviassembly
Barro F25,2025-04-11,SC Jogos,Driving|Sports|Simulation,win,4.4,630,90,Barro F25,90.0,Sports/Racing Game,steam,barro f25
BLOODSAINT,2024-12-05,Walter Machado,2D|Shooter,win,0.89,2500,98,BLOODSAINT,98.0,Action Game,steam,bloodsaint
Broventure: The Wild Co-op,2025-05-15,Alice Games,Action|Roguelike|Shooter,win,2.99,19400,79,Broventure: The Wild Co-op,79.0,Family Game,steam,broventure: the wild co-op
Cauldron,2025-05-21,SleepyDad Games,Turn-Based|Strategy|RPG|Simulation,win,7.99,31400,96,Cauldron,96.0,Role Playing Game,steam,cauldron
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Narrative,steam,clair obscur: expedition 33
CONERU -DIMENSION GIRL-,2025-05-28,HIKE Inc.,2D|Platformer|Action|RPG,win,10.49,210,95,CONERU -DIMENSION GIRL-,95.0,Role Playing Game,steam,coneru -dimension girl-
Deliver At All Costs,2025-05-22,Studio Far Out Games,Action|Story Rich|Sandbox|Simulation|Driving,win,14.99,19100,81,Deliver At All Costs,81.0,Sports/Racing Game,steam,deliver at all costs
Digseum,2024-12-09,Rat Monthly,Management|Simulation,win,1.99,165800,98,Digseum,98.0,Sim/Strategy Game,steam,digseum
Duck Detective: The Ghost of Glamping,2025-05-22,Happy Broccoli Games,Adventure|Cute|Puzzle|2.5D,win|mac|linux,5.79,27300,99,Duck Detective: The Ghost of Glamping,99.0,Action/Adventure Game,steam,duck detective: the ghost of glamping
ENDER MAGNOLIA: Bloom in the Mist,2025-01-22,Adglobe,2D|Fantasy|Action|RPG|Souls-like,win,12.49,401100,95,ENDER MAGNOLIA: Bloom in the Mist,95.0,Role Playing Game,steam,ender magnolia: bloom in the mist
F1® 25,2025-05-30,Codemasters,Driving|Sports|Simulation,win,59.99,30800,88,F1® 25,88.0,Sports/Racing Game,steam,f1® 25
FlyKnight,2025-01-31,Wabbaboy,Souls-like|Action|RPG|Combat,win,3.59,357100,96,FlyKnight,96.0,Role Playing Game,steam,flyknight
Frog Bard,2025-04-07,Moon Candy,Adventure|Driving,win,1.99,660,100,Frog Bard,100.0,Action/Adventure Game,steam,frog bard
Haste,2025-04-01,Landfall,Action|Roguelike|Driving,win|mac|linux,8.99,291300,91,Haste,91.0,Sports/Racing Game,steam,haste
Jacksmith: Weapons and Warriors,2025-05-13,Flipline Studios,Crafting|Strategy|Management|Action,win,3.59,61200,97,Jacksmith: Weapons and Warriors,97.0,Action Game,steam,jacksmith: weapons and warriors
Janosik 2,2024-12-09,Onix Games,Action|Adventure|Platformer|2D,win,4.49,1300,96,Janosik 2,96.0,Action Game,steam,janosik 2
Kabuto Park,2025-05-28,Doot,Cute|RPG|Simulation,win|mac|linux,2.99,4500,100,Kabuto Park,100.0,Role Playing Game,steam,kabuto park
Kathy Rain 2: Soothsayer,2025-05-20,Clifftop Games,2D|Puzzle|Visual Novel,win|mac|linux,10.49,12000,95,Kathy Rain 2: Soothsayer,95.0,Narrative,steam,kathy rain 2: soothsayer
Keep Driving,2025-02-06,YCJY Games,Pixel Graphics|RPG|Adventure,win,9.29,161200,94,Keep Driving,94.0,Sports/Racing Game,steam,keep driving
Kiosk,2025-01-29,Vivi,Horror|Simulation,win|mac|linux,2.49,58200,87,Kiosk,87.0,Mobile Game,steam,kiosk
Koira,2025-04-01,Studio Tolima,Adventure|Cute|Story Rich,win|mac|linux,9.29,7500,94,Koira,94.0,Narrative,steam,koira
Look Outside,2025-03-21,Francis Coulombe,RPG|Survival|Horror|Adventure|2D,win,5.99,102700,99,Look Outside,99.0,Action/Adventure Game,steam,look outside
MEMOLOGY 2: OLD TIMES,2025-03-03,hannibalnotdead,RPG,win,0.89,7300,96,MEMOLOGY 2: OLD TIMES,96.0,Role Playing Game,steam,memology 2: old times
MiSide,2024-12-11,AIHASTO,Anime|Story Rich|Horror|Simulation,win,7.99,3320000,98,MiSide,98.0,Narrative,steam,miside
My Summer Car,2025-01-08,Amistech Games,Simulation|Driving|Open World,win,7.99,3660000,94,My Summer Car,94.0,Sports/Racing Game,steam,my summer car
Mystopia,2025-05-27,Last Minute Studios,Sandbox|Building,win|linux,4.99,90,100,Mystopia,100.0,Sim/Strategy Game,steam,mystopia
Near-Mage,2025-05-27,Stuck In Attic,Adventure|Story Rich|2D|Visual Novel,win|mac|linux,10.49,1500,100,Near-Mage,100.0,Narrative,steam,near-mage
of the Devil,2025-02-06,nth Circle Studios,Visual Novel|Anime,win,0.0,117000,99,of the Devil,99.0,Narrative,steam,of the devil
Once Upon A Mind - A Little Too Friendly,2025-05-14,Zeal,Horror|Adventure,win,2.49,2100,98,Once Upon A Mind - A Little Too Friendly,98.0,Action/Adventure Game,steam,once upon a mind - a little too friendly
Paper Battlefield,2025-03-29,Bros Ogon's,Strategy|Building|War,win,3.99,848,100,Paper Battlefield,100.0,VR/AR Game,steam,paper battlefield
PlayM2M,2025-03-28,Laniatus LLC,Early Access|MMORPG,win,0.0,7100,54,PlayM2M,54.0,Multiplayer,steam,playm2m
Pro Wrestler Story,2025-05-19,"Kairosoft Co.,Ltd",Simulation|Sports|2D|Fighting,win,4.99,2200,76,Pro Wrestler Story,76.0,Fighting Game,steam,pro wrestler story
Puck,2025-01-04,NS7,Sports|Simulation,win,0.0,383200,85,Puck,85.0,Sports/Racing Game,steam,puck
Pushing it! Together - Sisyphus Co-op,2025-04-09,"Bashir ""ManliestDev"" Kashalo",Adventure|Simulation|Action|Strategy,win,2.99,51500,53,Pushing it! Together - Sisyphus Co-op,53.0,Family Game,steam,pushing it! together - sisyphus co-op
R.E.P.O.,2025-02-26,semiwork,Early Access|Horror,win,5.79,12950000,96,R.E.P.O.,96.0,Independent Game,steam,r.e.p.o.
Rift Riff,2025-05-09,Adriaan de Jongh,Strategy|Building|Action,win|mac|linux,3.99,8400,98,Rift Riff,98.0,Action/Adventure Game,steam,rift riff
Rocket Rats,2024-12-17,Gagonfe,Action|Roguelike|Pixel Graphics|2D,win,3.59,47100,96,Rocket Rats,96.0,Action Game,steam,rocket rats
Royal Quest Online,2024-12-19,BASE,MMORPG|Fantasy|Adventure,win,0.0,591400,81,Royal Quest Online,81.0,Multiplayer,steam,royal quest online
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Independent Game,steam,schedule i
Secret Agent Wizard Boy and the International Crime Syndicate,2025-03-06,John Szymanski,Early Access|Adventure|Sandbox,win,5.79,33400,96,Secret Agent Wizard Boy and the International Crime Syndicate,96.0,Independent Game,steam,secret agent wizard boy and the international crime syndicate
Seeds of Calamity,2025-05-28,Laborious Lark Studios,Early Access|Simulation|RPG,win,7.99,1100,96,Seeds of Calamity,96.0,Independent Game,steam,seeds of calamity
Skarab,2025-04-24,DOSMan Games,Adventure|FPS,win,1.99,1000,100,Skarab,100.0,Action/Adventure Game,steam,skarab
Small Spaces,2025-05-27,Niklas Tomkowitz,Early Access|Simulation|Building,win,7.29,4000,100,Small Spaces,100.0,Independent Game,steam,small spaces
Snacko,2025-05-25,Bluecurse Studios,Cute|Building,win|linux,12.49,19800,97,Snacko,97.0,Sim/Strategy Game,steam,snacko
Sol Cesto,2025-05-27,Tambouille,Early Access|Tactical|Puzzle|Roguelike|Turn-Based,win,6.59,9100,97,Sol Cesto,97.0,Independent Game,steam,sol cesto
Sorry We're Closed,2024-11-14,à la mode games,Survival|Horror|FPS|Fantasy,win,12.49,84900,98,Sorry We're Closed,98.0,Action Game,steam,sorry we're closed
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Narrative,steam,split fiction
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,KONAMI,JRPG|Pixel Graphics|2D|Story Rich,win,22.99,72600,95,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,95.0,Narrative,steam,suikoden i&ii hd remaster gate rune and dunan unification wars
Synthwave Driver,2025-05-20,Runebox Studios,Early Access|Driving,win,1.99,720,85,Synthwave Driver,85.0,Sports/Racing Game,steam,synthwave driver
The Bibites: Digital Life,2025-03-05,Omnia Studios,Early Access|Simulation|2D,win|mac|linux,7.5,3800,97,The Bibites: Digital Life,97.0,Independent Game,steam,the bibites: digital life
The Boba Teashop,2025-04-21,Mike Ten,Horror|Action|Management,win,2.99,14100,97,The Boba Teashop,97.0,Action Game,steam,the boba teashop
The Mr. Rabbit Magic Show,2025-04-30,Rusty Lake,Adventure|Puzzle,win|mac,0.0,393100,98,The Mr. Rabbit Magic Show,98.0,Action/Adventure Game,steam,the mr. rabbit magic show
The NOexistenceN of you AND me,2024-12-16,Fontainebleau,Visual Novel|Horror,win|mac,1.49,232000,94,The NOexistenceN of you AND me,94.0,Narrative,steam,the noexistencen of you and me
The Quinfall,2025-01-24,Vawraek Technology Inc.,Early Access|MMORPG,win,15.99,235300,47,The Quinfall,47.0,Multiplayer,steam,the quinfall
to a T,2025-05-28,uvula LLC,Adventure|Puzzle,win,9.49,380,98,to a T,98.0,Action/Adventure Game,steam,to a t
White Knuckle,2025-04-17,Dark Machine Games,Early Access|Horror|Platformer|Survival,win,7.29,91400,98,White Knuckle,98.0,Independent Game,steam,white knuckle
Without a Dawn,2025-05-19,Jesse Makkonen,Visual Novel|Horror|Story Rich,win,4.49,3900,96,Without a Dawn,96.0,Narrative,steam,without a dawn
World of Football,2024-11-20,Vault Game Studio,Sports,win,4.99,4200,86,World of Football,86.0,Sports/Racing Game,steam,world of football
