game_name,release_date,developer,user_defined_tags,supported_os,price,estimated_downloads,reviews_like_rate,name,rating_score,category,source
R.E.P.O.,2025-02-26,semiwork,Early Access|Horror,win,5.79,12950000,96,R.E.P.O.,96.0,Independent Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Independent Game,steam
Tower Unite,2025-04-19,PixelTail Games,Early Access|Open World|Sandbox|Simulation,win,10.49,2280000,89,Tower Unite,89.0,Independent Game,steam
RuneScape: Dragonwilds,2025-04-15,Jagex Ltd,Open World|Survival|Early Access,win,19.99,813400,84,RuneScape: Dragonwilds,84.0,Independent Game,steam
Fast Food Simulator,2024-12-10,No Ceiling Games,Early Access|Simulation|Management,win,7.99,708700,93,Fast Food Simulator,93.0,Independent Game,steam
Zort,2024-12-07,Londer Software,Early Access|Horror,win,2.0,650100,93,Zort,93.0,Independent Game,steam
Drive Beyond Horizons,2025-03-24,Drive Beyond Horizons,Early Access|Adventure|Action|Simulation|Driving,win,12.49,603200,80,Drive Beyond Horizons,80.0,Independent Game,steam
Assetto Corsa EVO,2025-01-16,KUNOS Simulazioni,Early Access|Driving|Simulation|Sports,win,24.99,439600,70,Assetto Corsa EVO,70.0,Independent Game,steam
Streamer Life Simulator 2,2025-01-23,Cheesecake Dev,Early Access|Simulation|Open World|Management,win,5.79,377300,83,Streamer Life Simulator 2,83.0,Independent Game,steam
Legend of Heroes: Three Kingdoms,2025-03-26,Free Wing,Early Access|Simulation|Strategy|RPG,win,10.49,343400,89,Legend of Heroes: Three Kingdoms,89.0,Independent Game,steam
Kiosk,2025-01-29,Vivi,Horror|Simulation,win|mac|linux,2.49,58200,87,Kiosk,87.0,Mobile Game,steam
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Narrative,steam
MiSide,2024-12-11,AIHASTO,Anime|Story Rich|Horror|Simulation,win,7.99,3320000,98,MiSide,98.0,Narrative,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Narrative,steam
The Last of Us™ Part II Remastered,2025-04-03,Naughty Dog LLC,Story Rich|Shooter|Action|Stealth|Horror,win,49.99,710600,90,The Last of Us™ Part II Remastered,90.0,Narrative,steam
Blue Prince,2025-04-10,Dogubomb,Puzzle|Strategy|Story Rich,win,14.99,370600,86,Blue Prince,86.0,Narrative,steam
The NOexistenceN of you AND me,2024-12-16,Fontainebleau,Visual Novel|Horror,win|mac,1.49,232000,94,The NOexistenceN of you AND me,94.0,Narrative,steam
The Hundred Line -Last Defense Academy-,2025-04-24,Too Kyo Games,Story Rich|Adventure|Anime|Visual Novel|Simulation,win,59.99,143100,89,The Hundred Line -Last Defense Academy-,89.0,Narrative,steam
of the Devil,2025-02-06,nth Circle Studios,Visual Novel|Anime,win,0.0,117000,99,of the Devil,99.0,Narrative,steam
Lost Records: Bloom & Rage,2025-02-18,DON'T NOD,Visual Novel|Story Rich,win,18.99,111300,87,Lost Records: Bloom & Rage,87.0,Narrative,steam
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,KONAMI,JRPG|Pixel Graphics|2D|Story Rich,win,22.99,72600,95,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,95.0,Narrative,steam
Marvel Rivals,2024-12-06,NetEase Games,Shooter|Action|Strategy,win,0.0,26240000,79,Marvel Rivals,79.0,Action/Adventure Game,steam
Grand Theft Auto V Enhanced,2025-03-04,Rockstar North,Open World|Action|Shooter|Driving|Sandbox,win,29.99,22200000,69,Grand Theft Auto V Enhanced,69.0,Action/Adventure Game,steam
Path of Exile 2,2024-12-06,Grinding Gear Games,Action|Adventure|RPG|Souls-like,win,29.99,7000000,72,Path of Exile 2,72.0,Action/Adventure Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Action/Adventure Game,steam
Monster Hunter Wilds,2025-02-28,"CAPCOM Co., Ltd.",Action|RPG|Open World|Fantasy,win,52.49,6870000,62,Monster Hunter Wilds,62.0,Action/Adventure Game,steam
FragPunk,2025-03-07,Bad Guitar Studio,FPS|Action,win,0.0,4280000,73,FragPunk,73.0,Action/Adventure Game,steam
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Action/Adventure Game,steam
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,2025-05-20,GSC Game World,Action|Adventure|RPG|Shooter,win,11.99,3560000,43,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,43.0,Action/Adventure Game,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Action/Adventure Game,steam
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,GSC Game World,Open World|FPS|Survival|RPG|Adventure,win,42.99,2690000,81,S.T.A.L.K.E.R. 2: Heart of Chornobyl,81.0,Action/Adventure Game,steam
Path of Exile 2,2024-12-06,Grinding Gear Games,Action|Adventure|RPG|Souls-like,win,29.99,7000000,72,Path of Exile 2,72.0,Role Playing Game,steam
Monster Hunter Wilds,2025-02-28,"CAPCOM Co., Ltd.",Action|RPG|Open World|Fantasy,win,52.49,6870000,62,Monster Hunter Wilds,62.0,Role Playing Game,steam
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,2025-05-20,GSC Game World,Action|Adventure|RPG|Shooter,win,11.99,3560000,43,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,43.0,Role Playing Game,steam
Kingdom Come: Deliverance II,2025-02-04,Warhorse Studios,RPG|Open World|Realistic|Combat,win,44.99,3240000,93,Kingdom Come: Deliverance II,93.0,Role Playing Game,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Role Playing Game,steam
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,GSC Game World,Open World|FPS|Survival|RPG|Adventure,win,42.99,2690000,81,S.T.A.L.K.E.R. 2: Heart of Chornobyl,81.0,Role Playing Game,steam
The Elder Scrolls IV: Oblivion Remastered,2025-04-22,Bethesda Game Studios,RPG|Open World|Fantasy|Adventure|Action,win,34.99,2280000,81,The Elder Scrolls IV: Oblivion Remastered,81.0,Role Playing Game,steam
FINAL FANTASY VII REBIRTH,2025-01-23,Square Enix,Adventure|Action|JRPG,win,54.99,1240000,77,FINAL FANTASY VII REBIRTH,77.0,Role Playing Game,steam
Wuthering Waves,2025-04-28,KURO GAMES,Open World|Action|Anime|RPG,win,0.0,947900,89,Wuthering Waves,89.0,Role Playing Game,steam
Sultan's Game,2025-03-31,Double Cross,RPG|Simulation|Adventure|Strategy,win|mac,12.49,890200,93,Sultan's Game,93.0,Role Playing Game,steam
Pro Wrestler Story,2025-05-19,"Kairosoft Co.,Ltd",Simulation|Sports|2D|Fighting,win,4.99,2200,76,Pro Wrestler Story,76.0,Fighting Game,steam
Pushing it! Together - Sisyphus Co-op,2025-04-09,"Bashir ""ManliestDev"" Kashalo",Adventure|Simulation|Action|Strategy,win,2.99,51500,53,Pushing it! Together - Sisyphus Co-op,53.0,Family Game,steam
Broventure: The Wild Co-op,2025-05-15,Alice Games,Action|Roguelike|Shooter,win,2.99,19400,79,Broventure: The Wild Co-op,79.0,Family Game,steam
Grand Theft Auto V Enhanced,2025-03-04,Rockstar North,Open World|Action|Shooter|Driving|Sandbox,win,29.99,22200000,69,Grand Theft Auto V Enhanced,69.0,Sports/Racing Game,steam
My Summer Car,2025-01-08,Amistech Games,Simulation|Driving|Open World,win,7.99,3660000,94,My Summer Car,94.0,Sports/Racing Game,steam
"Warhammer 40,000: Speed Freeks",2025-05-22,Caged Element Inc.,Combat|Driving,win,10.49,707400,77,"Warhammer 40,000: Speed Freeks",77.0,Sports/Racing Game,steam
Drive Beyond Horizons,2025-03-24,Drive Beyond Horizons,Early Access|Adventure|Action|Simulation|Driving,win,12.49,603200,80,Drive Beyond Horizons,80.0,Sports/Racing Game,steam
Assetto Corsa EVO,2025-01-16,KUNOS Simulazioni,Early Access|Driving|Simulation|Sports,win,24.99,439600,70,Assetto Corsa EVO,70.0,Sports/Racing Game,steam
Puck,2025-01-04,NS7,Sports|Simulation,win,0.0,383200,85,Puck,85.0,Sports/Racing Game,steam
RoadCraft,2025-05-20,Saber Interactive,Simulation|Building|Driving,win,27.99,325900,72,RoadCraft,72.0,Sports/Racing Game,steam
Haste,2025-04-01,Landfall,Action|Roguelike|Driving,win|mac|linux,8.99,291300,91,Haste,91.0,Sports/Racing Game,steam
Wreckfest 2,2025-03-20,Bugbear,Driving|Simulation|Combat,win,14.99,196000,74,Wreckfest 2,74.0,Sports/Racing Game,steam
Keep Driving,2025-02-06,YCJY Games,Pixel Graphics|RPG|Adventure,win,9.29,161200,94,Keep Driving,94.0,Sports/Racing Game,steam
Royal Quest Online,2024-12-19,BASE,MMORPG|Fantasy|Adventure,win,0.0,591400,81,Royal Quest Online,81.0,Multiplayer,steam
The Quinfall,2025-01-24,Vawraek Technology Inc.,Early Access|MMORPG,win,15.99,235300,47,The Quinfall,47.0,Multiplayer,steam
Pushing it! Together - Sisyphus Co-op,2025-04-09,"Bashir ""ManliestDev"" Kashalo",Adventure|Simulation|Action|Strategy,win,2.99,51500,53,Pushing it! Together - Sisyphus Co-op,53.0,Multiplayer,steam
Broventure: The Wild Co-op,2025-05-15,Alice Games,Action|Roguelike|Shooter,win,2.99,19400,79,Broventure: The Wild Co-op,79.0,Multiplayer,steam
PlayM2M,2025-03-28,Laniatus LLC,Early Access|MMORPG,win,0.0,7100,54,PlayM2M,54.0,Multiplayer,steam
Marvel Rivals,2024-12-06,NetEase Games,Shooter|Action|Strategy,win,0.0,26240000,79,Marvel Rivals,79.0,VR/AR Game,steam
R.E.P.O.,2025-02-26,semiwork,Early Access|Horror,win,5.79,12950000,96,R.E.P.O.,96.0,VR/AR Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,VR/AR Game,steam
My Summer Car,2025-01-08,Amistech Games,Simulation|Driving|Open World,win,7.99,3660000,94,My Summer Car,94.0,VR/AR Game,steam
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,2025-05-20,GSC Game World,Action|Adventure|RPG|Shooter,win,11.99,3560000,43,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,43.0,VR/AR Game,steam
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,GSC Game World,Open World|FPS|Survival|RPG|Adventure,win,42.99,2690000,81,S.T.A.L.K.E.R. 2: Heart of Chornobyl,81.0,VR/AR Game,steam
Tower Unite,2025-04-19,PixelTail Games,Early Access|Open World|Sandbox|Simulation,win,10.49,2280000,89,Tower Unite,89.0,VR/AR Game,steam
Farming Simulator 25,2024-11-12,Giants Software,Simulation|Realistic|Building,win|mac,9.99,1280000,83,Farming Simulator 25,83.0,VR/AR Game,steam
Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,2024-12-19,Ubisoft - San Francisco,Simulation,win,7.99,1230000,87,Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,87.0,VR/AR Game,steam
Sid Meier's Civilization VII,2025-02-11,Firaxis Games,Strategy|War|Simulation,win|mac|linux,69.99,1090000,48,Sid Meier's Civilization VII,48.0,VR/AR Game,steam
Marvel Rivals,2024-12-06,NetEase Games,Shooter|Action|Strategy,win,0.0,26240000,79,Marvel Rivals,79.0,Action Game,steam
Grand Theft Auto V Enhanced,2025-03-04,Rockstar North,Open World|Action|Shooter|Driving|Sandbox,win,29.99,22200000,69,Grand Theft Auto V Enhanced,69.0,Action Game,steam
Path of Exile 2,2024-12-06,Grinding Gear Games,Action|Adventure|RPG|Souls-like,win,29.99,7000000,72,Path of Exile 2,72.0,Action Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Action Game,steam
Monster Hunter Wilds,2025-02-28,"CAPCOM Co., Ltd.",Action|RPG|Open World|Fantasy,win,52.49,6870000,62,Monster Hunter Wilds,62.0,Action Game,steam
FragPunk,2025-03-07,Bad Guitar Studio,FPS|Action,win,0.0,4280000,73,FragPunk,73.0,Action Game,steam
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,2025-05-20,GSC Game World,Action|Adventure|RPG|Shooter,win,11.99,3560000,43,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,43.0,Action Game,steam
Kingdom Come: Deliverance II,2025-02-04,Warhorse Studios,RPG|Open World|Realistic|Combat,win,44.99,3240000,93,Kingdom Come: Deliverance II,93.0,Action Game,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Action Game,steam
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,GSC Game World,Open World|FPS|Survival|RPG|Adventure,win,42.99,2690000,81,S.T.A.L.K.E.R. 2: Heart of Chornobyl,81.0,Action Game,steam
Marvel Rivals,2024-12-06,NetEase Games,Shooter|Action|Strategy,win,0.0,26240000,79,Marvel Rivals,79.0,Sim/Strategy Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Sim/Strategy Game,steam
My Summer Car,2025-01-08,Amistech Games,Simulation|Driving|Open World,win,7.99,3660000,94,My Summer Car,94.0,Sim/Strategy Game,steam
MiSide,2024-12-11,AIHASTO,Anime|Story Rich|Horror|Simulation,win,7.99,3320000,98,MiSide,98.0,Sim/Strategy Game,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Sim/Strategy Game,steam
Tower Unite,2025-04-19,PixelTail Games,Early Access|Open World|Sandbox|Simulation,win,10.49,2280000,89,Tower Unite,89.0,Sim/Strategy Game,steam
SUPERVIVE,2024-11-20,Theorycraft Games,Shooter|Survival|Strategy|Action,win,0.0,2210000,89,SUPERVIVE,89.0,Sim/Strategy Game,steam
Dinkum,2025-04-23,James Bendon,Open World|Survival|Crafting|Simulation,win,10.49,1400000,93,Dinkum,93.0,Sim/Strategy Game,steam
inZOI,2025-03-28,inZOI Studio,Simulation|Realistic|Sandbox,win,24.99,1360000,79,inZOI,79.0,Sim/Strategy Game,steam
Farming Simulator 25,2024-11-12,Giants Software,Simulation|Realistic|Building,win|mac,9.99,1280000,83,Farming Simulator 25,83.0,Sim/Strategy Game,steam
