name,platform,release_date,metascore,user_score,developer,publisher,genre
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.3,Nintendo,Nintendo,Open-World Action
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.5,Nintendo,Nintendo,Open-World Action
Hades II,PC,2025-09-25,95.0,8.6,Supergiant Games,Supergiant Games,Action RPG
Hades II,Nintendo Switch,2025-09-25,98.0,9.3,Supergiant Games,Supergiant Games,Action RPG
Hades II,Nintendo Switch 2,2025-09-25,94.0,8.6,Supergiant Games,Supergiant Games,Action RPG
Clair Obscur: Expedition 33,Xbox Series X,2025-04-24,91.0,9.7,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Clair Obscur: Expedition 33,PC,2025-04-24,91.0,9.7,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Clair Obscur: Expedition 33,PlayStation 5,2025-04-24,93.0,9.6,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Blue Prince,PC,2025-04-10,92.0,7.8,Dogubomb,Raw Fury,First-Person Adventure
Blue Prince,PlayStation 5,2025-04-10,85.0,8.0,Dogubomb,Raw Fury,First-Person Adventure
Blue Prince,Xbox Series X,2025-04-10,90.0,8.4,Dogubomb,Raw Fury,First-Person Adventure
Split Fiction,PC,2025-03-06,90.0,9.0,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,PlayStation 5,2025-03-06,91.0,8.7,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,Xbox Series X,2025-03-06,93.0,8.9,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,Nintendo Switch 2,2025-03-06,89.0,9.1,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Hollow Knight: Silksong,Nintendo Switch,2025-09-04,94.0,9.0,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,PC,2025-09-04,91.0,9.0,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,PlayStation 5,2025-09-04,92.0,8.6,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,Xbox Series X,2025-09-04,90.0,8.7,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,Xbox One,2025-09-04,91.0,9.0,Team Cherry,Team Cherry,Metroidvania
Donkey Kong Bananza,Nintendo Switch 2,2025-07-17,91.0,9.1,Nintendo,Nintendo,3D Platformer
Caves of Qud,PC,2024-12-05,91.0,8.3,Freehold Games,Kitfox Games,Roguelike
Trails in the Sky 1st Chapter,Nintendo Switch,2025-09-19,89.0,9.6,Falcom,GungHo|Falcom|Clear River Games,JRPG
Trails in the Sky 1st Chapter,PC,2025-09-19,89.0,9.1,Falcom,GungHo|Falcom|Clear River Games,JRPG
Trails in the Sky 1st Chapter,PlayStation 5,2025-09-19,90.0,9.0,Falcom,GungHo|Falcom|Clear River Games,JRPG
despelote,PC,2025-05-01,89.0,6.1,Julian Cordero,Panic Inc.,Adventure
The Talos Principle: Reawakened,Xbox Series X,2025-04-10,87.0,8.5,Croteam,Devolver Digital,First-Person Adventure
The Talos Principle: Reawakened,PC,2025-04-10,89.0,6.4,Croteam,Devolver Digital,First-Person Adventure
Death Stranding 2: On The Beach,PlayStation 5,2025-06-26,89.0,8.8,Kojima Productions,Sony Interactive Entertainment|PlayStation Studios,Open-World Action
Monster Hunter Wilds,PC,2025-02-28,88.0,5.4,Capcom,Capcom,Action RPG
Monster Hunter Wilds,Xbox Series X,2025-02-28,90.0,7.7,Capcom,Capcom,Action RPG
Monster Hunter Wilds,PlayStation 5,2025-02-28,88.0,7.1,Capcom,Capcom,Action RPG
Abiotic Factor,PC,2025-07-22,88.0,8.1,Deep Field Games,Playstack,Survival
Kingdom Come: Deliverance II,PC,2025-02-04,88.0,8.7,Warhorse Studios,Deep Silver,Action RPG
Kingdom Come: Deliverance II,PlayStation 5,2025-02-04,88.0,8.6,Warhorse Studios,Deep Silver,Action RPG
Kingdom Come: Deliverance II,Xbox Series X,2025-02-04,88.0,8.3,Warhorse Studios,Deep Silver,Action RPG
FINAL FANTASY TACTICS - The Ivalice Chronicles,PlayStation 5,2025-09-30,88.0,7.4,Creative Business Unit III,Square Enix,Turn-Based Tactics
FINAL FANTASY TACTICS - The Ivalice Chronicles,PC,2025-09-30,88.0,7.3,Creative Business Unit III,Square Enix,Turn-Based Tactics
FINAL FANTASY TACTICS - The Ivalice Chronicles,Nintendo Switch,2025-09-30,88.0,4.0,Creative Business Unit III,Square Enix,Turn-Based Tactics
Sword of the Sea,PlayStation 5,2025-08-19,88.0,8.6,Giant Squid,Giant Squid,Action Adventure
Sword of the Sea,PC,2025-08-19,82.0,7.8,Giant Squid,Giant Squid,Action Adventure
Super Mario Galaxy + Super Mario Galaxy 2,Nintendo Switch,2025-10-02,88.0,7.4,Nintendo,Nintendo,Compilation
Earthion,PC,2025-07-31,87.0,8.5,Ancient,Limited Run Games,Horizontal Shoot-'Em-Up
Monster Train 2,PC,2025-05-21,87.0,7.9,Shiny Shoe,Big Fan Games,Card Battle
Shinobi: Art of Vengeance,PC,2025-08-29,86.0,9.1,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,PlayStation 5,2025-08-29,87.0,8.6,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,PlayStation 4,2025-08-29,85.0,9.0,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,Nintendo Switch,2025-08-29,89.0,9.5,Lizardcube,Sega|Limited Run Games,2D Platformer
Pipistrello and the Cursed Yoyo,PC,2025-05-28,87.0,8.2,Pocket Trap,PM Studios Inc.,Action Adventure
Pipistrello and the Cursed Yoyo,Nintendo Switch,2025-05-28,88.0,9.2,Pocket Trap,PM Studios Inc.,Action Adventure
ANTONBLAST,PC,2024-12-03,87.0,8.1,Summitsphere,Summitsphere,2D Platformer
Xenoblade Chronicles X: Definitive Edition,Nintendo Switch,2025-03-20,87.0,8.4,Monolith Soft,Nintendo,Action RPG
Lonely Mountains: Snow Riders,PC,2025-01-21,87.0,6.7,Megagon Industries,Megagon Industries,Skiing
The Roottrees are Dead,PC,2025-01-15,86.0,7.6,Robin Ward,Evil Trout,Point-and-Click
Ghost of Yotei,PlayStation 5,2025-10-02,86.0,8.3,Sucker Punch,Sony Interactive Entertainment,Open-World Action
Street Fighter 6: Years 1-2 Fighters Edition,Nintendo Switch 2,2025-06-05,86.0,7.9,Capcom,Capcom,2D Fighting
Mario Kart World,Nintendo Switch 2,2025-06-05,86.0,6.9,Nintendo,Nintendo,Auto Racing
Sea of Stars: Throes of the Watchmaker,Nintendo Switch,2025-05-20,86.0,7.7,Sabotage Studio,Sabotage Studio,JRPG
Indiana Jones and the Great Circle,PC,2024-12-09,87.0,7.9,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle,Xbox Series X,2024-12-09,86.0,8.2,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle,PlayStation 5,2024-12-09,88.0,7.5,MachineGames,Bethesda Softworks,Action Adventure
Deep Rock Galactic: Survivor,PC,2025-09-17,86.0,8.3,Funday Games,Ghost Ship Publishing,Top-Down Shoot-'Em-Up
DELTARUNE,Nintendo Switch 2,2025-06-05,86.0,8.9,8-4,8-4,JRPG
Silent Hill f,PlayStation 5,2025-09-25,86.0,7.0,NeoBards Entertainment,Konami,Survival
Silent Hill f,Xbox Series X,2025-09-25,83.0,7.0,NeoBards Entertainment,Konami,Survival
Silent Hill f,PC,2025-09-25,85.0,6.2,NeoBards Entertainment,Konami,Survival
Citizen Sleeper 2: Starward Vector,PC,2025-01-31,86.0,7.4,Jump Over The Age,Fellow Traveller,Western RPG
Citizen Sleeper 2: Starward Vector,Xbox Series X,2025-01-31,85.0,7.2,Jump Over The Age,Fellow Traveller,Western RPG
Age of Mythology: Retold - Immortal Pillars,PlayStation 5,2025-03-04,86.0,8.2,World's Edge,Xbox Game Studios,Real-Time Strategy
StarVaders,PC,2025-04-30,85.0,8.1,Pengonauts,Joystick Ventures|StarVaders Games,Card Battle
Yakuza 0: Director's Cut,Nintendo Switch 2,2025-06-05,85.0,7.7,Ryu ga Gotoku Studios,Sega,Open-World Action
Metal Gear Solid Delta: Snake Eater,PlayStation 5,2025-08-28,85.0,7.6,Konami,Konami,Action Adventure
Metal Gear Solid Delta: Snake Eater,Xbox Series X,2025-08-28,83.0,6.9,Konami,Konami,Action Adventure
Metal Gear Solid Delta: Snake Eater,PC,2025-08-28,83.0,6.4,Konami,Konami,Action Adventure
Lies of P: Overture,PlayStation 5,2025-06-06,84.0,8.4,Round 8 Studio of NEOWIZ,Neowiz,Action RPG
Lies of P: Overture,PlayStation 4,2025-06-06,85.0,8.0,Round 8 Studio of NEOWIZ,Neowiz,Action RPG
Dungeons of Dreadrock 2 - The Dead King's Secret,Nintendo Switch,2024-11-28,85.0,7.4,Prof. Dr. Christoph Minnameier,Prof. Dr. Christoph Minnameier,Action Adventure
Cyberpunk 2077: Ultimate Edition,PlayStation 5,2025-06-05,85.0,8.5,CD Projekt Red Studio,"CD Projekt Red Studio|Spike Chunsoft|Bandai Namco Games|H2 Interactive Co., Ltd.",Action RPG
The Rise of the Golden Idol,PC,2024-11-12,85.0,8.2,Color Gray Games,Playstack,Point-and-Click
Tetris Forever,Nintendo Switch,2024-11-12,85.0,6.8,Digital Eclipse,Digital Eclipse|Clear River Games,Compilation
The Alters,PC,2025-06-13,84.0,8.2,11 bit studios,11 bit studios|Silver Lining Interactive,Survival
The Alters,Xbox Series X,2025-06-13,86.0,9.1,11 bit studios,11 bit studios|Silver Lining Interactive,Survival
The Alters,PlayStation 5,2025-06-13,83.0,9.0,11 bit studios,11 bit studios|Silver Lining Interactive,Survival
Two Point Museum,PlayStation 5,2025-03-04,83.0,9.3,Two Point Studios,Sega,Tycoon
Two Point Museum,PC,2025-03-04,84.0,8.2,Two Point Studios,Sega,Tycoon
The Hundred Line: Last Defense Academy,Nintendo Switch,2025-04-24,84.0,8.1,Too Kyo Games,Marvelous Inc.|XSEED Games|Aniplex Inc.|Justdan,Turn-Based Tactics
The Hundred Line: Last Defense Academy,PC,2025-04-24,83.0,7.8,Too Kyo Games,Marvelous Inc.|XSEED Games|Aniplex Inc.|Justdan,Turn-Based Tactics
The Drifter,Nintendo Switch,2025-07-17,84.0,8.0,Powerhoof,Powerhoof,Point-and-Click
s.p.l.i.t,PC,2025-07-24,84.0,8.3,Mike Klubnika,Mike Klubnika,Adventure
Quartet,PC,2025-08-26,84.0,8.2,Something Classic Games,Something Classic Games,JRPG
System Shock 2: 25th Anniversary Remaster,PC,2025-06-26,84.0,8.3,Nightdive Studios,Nightdive Studios,Survival
Keep Driving,PC,2025-02-06,84.0,7.7,YCJY Games,YCJY Games,RPG
Ninja Gaiden: Ragebound,PC,2025-07-31,84.0,7.8,The Game Kitchen,DotEmu,2D Platformer
Ninja Gaiden: Ragebound,Nintendo Switch,2025-07-31,87.0,7.3,The Game Kitchen,DotEmu,2D Platformer
Ninja Gaiden: Ragebound,PlayStation 5,2025-07-31,84.0,7.4,The Game Kitchen,DotEmu,2D Platformer
Dragon Quest III HD-2D Remake,Nintendo Switch,2024-11-14,82.0,7.5,Artdink,Square Enix,JRPG
Dragon Quest III HD-2D Remake,PlayStation 5,2024-11-14,84.0,7.1,Artdink,Square Enix,JRPG
Dragon Quest III HD-2D Remake,Xbox Series X,2024-11-14,78.0,6.7,Artdink,Square Enix,JRPG
Dragon Quest III HD-2D Remake,PC,2024-11-14,86.0,6.3,Artdink,Square Enix,JRPG
Gradius Origins,Nintendo Switch,2025-08-07,83.0,8.0,M2,Konami|Limited Run Games,Compilation
Gradius Origins,PlayStation 5,2025-08-07,84.0,8.2,M2,Konami|Limited Run Games,Compilation
Senua's Saga: Hellblade II - Enhanced,PlayStation 5,2025-08-12,84.0,7.0,Ninja Theory,Microsoft Corporation|Limited Run Games,Action Adventure
Bravely Default: Flying Fairy HD Remaster,Nintendo Switch 2,2025-06-05,84.0,7.3,Square Enix,Square Enix,JRPG
ENDER MAGNOLIA: Bloom in the Mist,PC,2025-01-22,84.0,8.1,Live Wire,Binary Haze Interactive,Metroidvania
ENDER MAGNOLIA: Bloom in the Mist,PlayStation 5,2025-01-22,83.0,8.9,Live Wire,Binary Haze Interactive,Metroidvania
DOOM: The Dark Ages,Xbox Series X,2025-05-15,85.0,8.1,id Software,Bethesda Softworks|Microsoft Corporation,FPS
DOOM: The Dark Ages,PC,2025-05-15,85.0,7.7,id Software,Bethesda Softworks|Microsoft Corporation,FPS
DOOM: The Dark Ages,PlayStation 5,2025-05-15,83.0,8.0,id Software,Bethesda Softworks|Microsoft Corporation,FPS
Look Outside,PC,2025-03-21,83.0,9.0,FrankieSmileShow,Devolver Digital,JRPG
Kirby and the Forgotten Land: Nintendo Switch 2 Edition + Star-Crossed World,Nintendo Switch 2,2025-08-28,83.0,8.2,HAL Labs,Nintendo,3D Platformer
Dawnfolk,PC,2025-02-13,83.0,7.6,Darenn Keller,Astra Logical,Strategy
Sorry We're Closed,PC,2024-11-14,83.0,5.7,A La Mode,Akupara Games,Survival
Drop Duchy,PC,2025-05-05,83.0,6.8,Sleepy Mill Studio,The Arcade Crew,Turn-Based Strategy
POPUCOM,PlayStation 5,2025-06-01,83.0,8.3,Hypergryph,Gryph Frontier,3D Platformer
MLB The Show 25,PlayStation 5,2025-03-18,83.0,5.5,San Diego Studio,Sony Interactive Entertainment,Baseball Sim
MiSide,PC,2024-12-10,83.0,7.9,AIHASTO,IndieArk,Adventure
Lost in Random: The Eternal Die,PlayStation 5,2025-06-17,83.0,6.9,Thunderful,Thunderful,Action Adventure
Lost in Random: The Eternal Die,PC,2025-06-17,78.0,6.8,Thunderful,Thunderful,Action Adventure
Story of Seasons: Grand Bazaar,Nintendo Switch,2025-08-27,81.0,7.1,Marvelous Inc.,XSEED Games|Marvelous Inc.|Marvelous Europe,Virtual Life
Story of Seasons: Grand Bazaar,Nintendo Switch 2,2025-08-27,83.0,8.7,Marvelous Inc.,XSEED Games|Marvelous Inc.|Marvelous Europe,Virtual Life
THRESHOLD (Julien Eveille),PC,2024-11-19,83.0,8.1,Julien Eveille,Critical Reflex,First-Person Adventure
OFF,PC,2025-08-15,83.0,6.9,MortisGhost,Fangamer,JRPG
Expelled!,PC,2025-03-12,82.0,7.3,inkle,inkle,Visual Novel
Rosewater,PC,2025-03-27,82.0,6.9,Grundislav Games,Application Systems Heidelberg,Adventure
Hell Clock,PC,2025-07-22,82.0,9.1,Rogue Snail,Mad Mushroom,Top-Down Shoot-'Em-Up
NBA 2K26,PlayStation 5,2025-09-05,82.0,4.9,Visual Concepts,2K Games|Take-Two Interactive,Basketball Sim
Tony Hawk's Pro Skater 3 + 4,PlayStation 5,2025-07-11,82.0,6.7,Iron Galaxy Studios,Activision,Compilation
Tony Hawk's Pro Skater 3 + 4,Xbox Series X,2025-07-11,86.0,8.3,Iron Galaxy Studios,Activision,Compilation
Tony Hawk's Pro Skater 3 + 4,PC,2025-07-11,81.0,5.2,Iron Galaxy Studios,Activision,Compilation
Achilles: Survivor,PC,2025-07-29,82.0,7.7,Dark Point Games,Dark Point Games,Top-Down Shoot-'Em-Up
Achilles: Survivor,Xbox One,2025-07-29,80.0,6.0,Dark Point Games,Dark Point Games,Top-Down Shoot-'Em-Up
Sonic Racing: CrossWorlds,PlayStation 5,2025-09-25,82.0,9.1,Sonic Team,Sega,Arcade Racing
Sonic Racing: CrossWorlds,Xbox Series X,2025-09-25,88.0,8.7,Sonic Team,Sega,Arcade Racing
Sonic Racing: CrossWorlds,PC,2025-09-25,84.0,9.4,Sonic Team,Sega,Arcade Racing
PEAK,PC,2025-06-16,82.0,7.8,Landcrab,Aggro Crab,Action Adventure
Crown Gambit,PC,2025-06-18,82.0,7.0,WILD WITS,Playdigious,Card Battle
Cataclismo,PC,2025-03-20,82.0,5.9,Digital Sun,Hooded Horse,Defense
EA Sports College Football 26,PlayStation 5,2025-07-10,82.0,4.5,EA Tiburon,Electronic Arts,Football Sim
EA Sports College Football 26,Xbox Series X,2025-07-10,82.0,3.4,EA Tiburon,Electronic Arts,Football Sim
Capcom Fighting Collection 2,PlayStation 4,2025-05-16,82.0,5.4,Capcom,Capcom,Compilation
HITMAN World of Assassination Part One - VR Edition,PlayStation 5,2025-03-27,82.0,7.9,Io Interactive,Io Interactive,Compilation
Kathy Rain 2: Soothsayer,PC,2025-05-20,82.0,8.9,Clifftop Games,Raw Fury,Point-and-Click
Tales of Graces f Remastered,Nintendo Switch,2025-01-17,80.0,9.2,TOSE,Bandai Namco Games,Action RPG
Tales of Graces f Remastered,PlayStation 5,2025-01-17,82.0,8.3,TOSE,Bandai Namco Games,Action RPG
Tales of Graces f Remastered,PC,2025-01-17,77.0,8.3,TOSE,Bandai Namco Games,Action RPG
Assassin's Creed Shadows,PC,2025-03-20,79.0,5.0,Ubisoft Quebec,Ubisoft,Open-World Action
Assassin's Creed Shadows,Xbox Series X,2025-03-20,85.0,6.4,Ubisoft Quebec,Ubisoft,Open-World Action
Assassin's Creed Shadows,PlayStation 5,2025-03-20,81.0,6.2,Ubisoft Quebec,Ubisoft,Open-World Action
Borderlands 4,PlayStation 5,2025-09-12,77.0,5.8,Gearbox Software,2K Games,FPS
Borderlands 4,Xbox Series X,2025-09-12,90.0,6.1,Gearbox Software,2K Games,FPS
Borderlands 4,PC,2025-09-12,81.0,4.4,Gearbox Software,2K Games,FPS
HASTE: Broken Worlds,PC,2025-04-01,81.0,7.4,LandFall,LandFall,3D Platformer
Elroy And The Aliens,PC,2025-04-02,81.0,8.4,Motiviti,Motiviti,Point-and-Click
Bionic Bay,PC,2025-04-17,87.0,7.4,Psychoflow Studio,Kepler Interactive,2D Platformer
Bionic Bay,PlayStation 5,2025-04-17,81.0,8.9,Psychoflow Studio,Kepler Interactive,2D Platformer
Songs Of Silence,PC,2024-11-13,81.0,8.3,Chimera Entertainment,Chimera Entertainment,4X Strategy
Songs Of Silence,PlayStation 5,2024-11-13,68.0,5.8,Chimera Entertainment,Chimera Entertainment,4X Strategy
Rune Factory: Guardians of Azuma,PC,2025-06-05,80.0,9.5,Marvelous Inc.,Marvelous Inc.|Marvelous Europe,Action RPG
Rune Factory: Guardians of Azuma,Nintendo Switch,2025-06-05,81.0,8.2,Marvelous Inc.,Marvelous Inc.|Marvelous Europe,Action RPG
Rune Factory: Guardians of Azuma,Nintendo Switch 2,2025-06-05,82.0,8.9,Marvelous Inc.,Marvelous Inc.|Marvelous Europe,Action RPG
Duck Detective: The Ghost of Glamping,PC,2025-05-22,81.0,7.6,Happy Broccoli Games,Happy Broccoli Games,Adventure
Stars In The Trash,PC,2024-12-09,81.0,8.9,Valhalla Cats,IndieArk,2D Platformer
SaGa Frontier 2 Remastered,Nintendo Switch,2025-03-27,81.0,7.5,Square Enix,Square Enix|Arc System Works,JRPG
RollerCoaster Tycoon Classic,iOS (iPhone/iPad),2024-12-05,90.0,7.9,Atari,Atari,Tycoon
RollerCoaster Tycoon Classic,Nintendo Switch,2024-12-05,81.0,8.5,Atari,Atari,Tycoon
Back to the Dawn,PC,2025-07-18,81.0,7.4,Metal Head Games,Spiral Up Games,Action Adventure
Great God Grove,PC,2024-11-15,81.0,7.4,LimboLane,Fellow Traveller,Adventure
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,Xbox One,2025-03-06,82.0,7.9,Konami,Konami,Compilation
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,PC,2025-03-06,81.0,8.2,Konami,Konami,Compilation
Tiny Bookshop,PC,2025-08-07,81.0,5.0,neoludic games,Skystone Games,Tycoon
The Darkest Files,PC,2025-03-25,80.0,7.6,Paintbucket Games,Paintbucket Games,First-Person Adventure
F1 25,PlayStation 5,2025-05-30,80.0,7.5,Codemasters,Electronic Arts,Auto Racing Sim
F1 25,PC,2025-05-30,81.0,8.4,Codemasters,Electronic Arts,Auto Racing Sim
FANTASIAN Neo Dimension,Nintendo Switch,2024-12-05,80.0,8.2,Mistwalker,Square Enix,JRPG
FANTASIAN Neo Dimension,PlayStation 5,2024-12-05,81.0,7.4,Mistwalker,Square Enix,JRPG
Dragon Ball: Gekishin Squadra,iOS (iPhone/iPad),2025-09-09,80.0,6.3,Ganbarion,Bandai Namco Games,MOBA
Star Wars Outlaws: Gold Edition,Nintendo Switch 2,2025-09-04,80.0,7.3,Massive Entertainment,Ubisoft,Open-World Action
Slender Threads,PC,2025-02-07,80.0,6.6,Blyts,Blyts,Point-and-Click
PGA TOUR 2K25,PlayStation 5,2025-02-28,80.0,5.4,HB Studios Multimedia,2K Games|Take-Two Interactive,Golf Sim
PGA TOUR 2K25,Xbox Series X,2025-02-28,78.0,3.2,HB Studios Multimedia,2K Games|Take-Two Interactive,Golf Sim
PGA TOUR 2K25,PC,2025-02-28,79.0,5.8,HB Studios Multimedia,2K Games|Take-Two Interactive,Golf Sim
Tempest Rising,PC,2025-04-21,80.0,7.5,Slipgate Ironworks,3D Realms,Real-Time Strategy
Ninja Gaiden 2 Black,Xbox Series X,2025-01-23,81.0,8.5,Team Ninja,Koei Tecmo Games,Action Adventure
